Transaction_ID,Date,Region,Product_Category,Product_Name,Units_Sold,Unit_Price,Sales_Target,Total_Sales,Cost,Profit,Target_Achieved
FF100056,2024-02-26,Brazil,Elite Pass,Golden AK,473,99,148442,46827,22744.448481256954,24082.551518743046,No
FF100057,2024-02-27,Thailand,Diamonds,Shadow Bundle,10,999,56963,9990,6774.589974247754,3215.410025752246,No
FF100058,2024-02-28,India,Skins,Elite Pass S2,405,199,74330,80595,55689.3684930587,24905.631506941303,Yes
FF100059,2024-02-29,Thailand,Characters,M1014 Evo,384,499,71707,191616,109485.19386224005,82130.80613775995,Yes
FF100060,2024-03-01,Mexico,Weapons,Dragon Skin,302,499,38689,150698,66744.19495504389,83953.80504495611,Yes
FF100061,2024-03-02,Brazil,Skins,Dragon Skin,231,999,49084,230769,118237.83707293877,112531.16292706123,Yes
FF100062,2024-03-03,Brazil,Skins,Golden AK,219,99,60387,21681,13861.089960495789,7819.910039504211,No
FF100063,2024-03-04,India,Elite Pass,Elite Pass S2,411,499,94816,205089,104639.93914732605,100449.06085267395,Yes
FF100064,2024-03-05,Brazil,Diamonds,1000 Diamonds,66,99,22642,6534,2784.1711513171267,3749.8288486828733,No
FF100065,2024-03-06,Vietnam,Weapons,Elite Pass S1,425,499,62137,212075,120254.04799552864,91820.95200447136,Yes
FF100066,2024-03-07,Brazil,Characters,Elite Pass S2,112,499,99832,55888,36524.83424452312,19363.165755476883,No
FF100067,2024-03-08,Thailand,Weapons,Dragon Skin,13,99,75561,1287,822.1071780761063,464.89282192389373,No
FF100068,2024-03-09,Thailand,Characters,Dragon Skin,393,299,82260,117507,53176.258448189226,64330.741551810774,Yes
FF100069,2024-03-10,Philippines,Diamonds,1000 Diamonds,420,499,35438,209580,126131.40236656943,83448.59763343057,Yes
FF100070,2024-03-11,Thailand,Characters,M1014 Evo,86,199,68442,17114,7977.7129893312995,9136.2870106687,No
FF100071,2024-03-12,Philippines,Elite Pass,Elite Pass S2,234,999,123061,233766,108809.25075663693,124956.74924336307,Yes
FF100072,2024-03-13,Thailand,Elite Pass,Elite Pass S2,90,299,22994,26910,17820.38142589276,9089.61857410724,Yes
FF100073,2024-03-14,Vietnam,Elite Pass,Dragon Skin,314,99,143439,31086,14762.76271946484,16323.23728053516,No
FF100074,2024-03-15,Philippines,Elite Pass,Elite Pass S1,54,299,145844,16146,7733.517497063943,8412.482502936058,No
FF100075,2024-03-16,Indonesia,Weapons,Golden AK,12,49,133530,588,235.31525813029324,352.6847418697067,No
FF100076,2024-03-17,Mexico,Diamonds,500 Diamonds,209,49,119575,10241,6771.356473543828,3469.6435264561724,No
FF100077,2024-03-18,India,Characters,Golden AK,462,499,21813,230538,147032.16691428225,83505.83308571775,Yes
FF100078,2024-03-19,Thailand,Characters,Elite Pass S2,14,499,113027,6986,4109.155982163043,2876.8440178369574,No
FF100079,2024-03-20,Brazil,Elite Pass,Golden AK,121,199,143489,24079,15051.294798965015,9027.705201034985,No
FF100080,2024-03-21,Thailand,Elite Pass,Dragon Skin,418,999,104381,417582,186080.62346467626,231501.37653532374,Yes
FF100081,2024-03-22,Brazil,Skins,Dragon Skin,437,299,138808,130663,70230.9807518789,60432.0192481211,No
FF100082,2024-03-23,Mexico,Diamonds,1000 Diamonds,377,49,75276,18473,9335.622722748209,9137.377277251791,No
FF100083,2024-03-24,Mexico,Weapons,Elite Pass S2,20,499,61243,9980,4272.7669196135075,5707.2330803864925,No
FF100084,2024-03-25,Mexico,Characters,1000 Diamonds,75,999,82912,74925,40896.997981418455,34028.002018581545,No
FF100085,2024-03-26,Brazil,Skins,Elite Pass S2,400,299,80272,119600,80876.13865429374,38723.86134570626,Yes
FF100086,2024-03-27,Thailand,Skins,500 Diamonds,243,499,122700,121257,49960.03457961902,71296.96542038098,No
FF100087,2024-03-28,Mexico,Characters,500 Diamonds,223,499,62051,111277,54240.66882125467,57036.33117874533,Yes
FF100088,2024-03-29,Vietnam,Weapons,M1014 Evo,70,49,98854,3430,1585.559623355669,1844.440376644331,No
FF100089,2024-03-30,Philippines,Skins,Elite Pass S2,312,49,102736,15288,7207.43581237235,8080.56418762765,No
FF100090,2024-03-31,Brazil,Skins,Elite Pass S1,211,499,141992,105289,70810.04965984827,34478.95034015173,No
FF100091,2024-04-01,Brazil,Diamonds,Golden AK,101,99,142019,9999,5403.6667419866,4595.3332580134,No
FF100092,2024-04-02,Thailand,Weapons,Elite Pass S2,186,499,85618,92814,50109.3341137789,42704.6658862211,Yes
FF100093,2024-04-03,Brazil,Skins,Shadow Bundle,132,999,21920,131868,82835.87664578795,49032.123354212046,Yes
FF100094,2024-04-04,Brazil,Weapons,M1014 Evo,111,499,126121,55389,24722.75060628865,30666.24939371135,No
FF100095,2024-04-05,Mexico,Characters,Shadow Bundle,381,199,97219,75819,41410.79156475353,34408.20843524647,No
FF100096,2024-04-06,Thailand,Elite Pass,Dragon Skin,132,199,96872,26268,13895.655481359598,12372.344518640402,No
FF100097,2024-04-07,Mexico,Skins,500 Diamonds,20,199,101132,3980,2304.7113645127074,1675.2886354872926,No
FF100098,2024-04-08,Philippines,Diamonds,Golden AK,394,99,22093,39006,27299.02433189598,11706.97566810402,Yes
FF100099,2024-04-09,Philippines,Characters,Elite Pass S2,24,99,32905,2376,1498.863171701683,877.1368282983169,No
FF100100,2024-04-10,Mexico,Weapons,Shadow Bundle,227,499,141759,113273,58829.43253336791,54443.56746663209,No
FF100101,2024-04-11,Philippines,Characters,Golden AK,154,199,44351,30646,19866.757251997133,10779.242748002867,No
FF100102,2024-04-12,Thailand,Skins,Dragon Skin,293,99,50981,29007,13088.321248381533,15918.678751618467,No
FF100103,2024-04-13,India,Weapons,500 Diamonds,230,49,93903,11270,4610.9977234105945,6659.0022765894055,No
FF100104,2024-04-14,Mexico,Elite Pass,Elite Pass S1,469,499,90821,234031,107966.57711685589,126064.42288314411,Yes
FF100105,2024-04-15,Vietnam,Characters,M1014 Evo,310,999,129200,309690,155502.61644390752,154187.38355609248,Yes
FF100106,2024-04-16,Vietnam,Skins,Golden AK,488,299,123241,145912,80714.75784473178,65197.24215526822,Yes
FF100107,2024-04-17,Brazil,Diamonds,Golden AK,359,499,102289,179141,104714.85480970732,74426.14519029268,Yes
FF100108,2024-04-18,Philippines,Weapons,Elite Pass S1,405,299,136506,121095,81518.93979782412,39576.06020217588,No
FF100109,2024-04-19,Vietnam,Characters,Golden AK,202,199,104021,40198,22227.73344277279,17970.26655722721,No
FF100110,2024-04-20,Brazil,Characters,Dragon Skin,38,299,98513,11362,6253.448162271261,5108.551837728739,No
FF100111,2024-04-21,India,Elite Pass,Dragon Skin,430,199,39874,85570,35517.78830516578,50052.21169483422,Yes
FF100112,2024-04-22,Thailand,Elite Pass,Elite Pass S1,260,49,70931,12740,5229.431954252088,7510.568045747912,No
FF100113,2024-04-23,Thailand,Diamonds,M1014 Evo,188,299,27674,56212,31779.341133772934,24432.658866227066,Yes
FF100114,2024-04-24,Thailand,Diamonds,Elite Pass S2,57,499,70516,28443,15116.1342889868,13326.8657110132,No
FF100115,2024-04-25,Vietnam,Skins,Shadow Bundle,429,199,141982,85371,55640.900849958925,29730.099150041075,No
FF100116,2024-04-26,India,Skins,Elite Pass S2,20,499,148408,9980,4473.074676627264,5506.925323372736,No
FF100117,2024-04-27,Vietnam,Diamonds,Golden AK,273,99,114574,27027,11013.272733611251,16013.727266388749,No
FF100118,2024-04-28,Philippines,Diamonds,Shadow Bundle,119,199,80686,23681,12662.506119005993,11018.493880994007,No
FF100119,2024-04-29,Vietnam,Weapons,1000 Diamonds,71,299,114851,21229,10004.029684388102,11224.970315611898,No
FF100120,2024-04-30,India,Elite Pass,Elite Pass S1,4,199,89212,796,330.2479123533144,465.7520876466856,No
FF100121,2024-05-01,India,Skins,Elite Pass S1,221,499,22426,110279,68083.99234258091,42195.00765741909,Yes
FF100122,2024-05-02,Philippines,Elite Pass,M1014 Evo,14,49,142952,686,297.3658393912015,388.6341606087985,No
FF100123,2024-05-03,India,Elite Pass,Shadow Bundle,3,199,110009,597,347.7500224513919,249.24997754860811,No
FF100124,2024-05-04,India,Diamonds,Dragon Skin,216,299,88498,64584,31278.99511943351,33305.004880566485,No
FF100125,2024-05-05,Thailand,Weapons,Shadow Bundle,229,99,49943,22671,10248.398687279612,12422.601312720388,No
FF100126,2024-05-06,Philippines,Characters,Golden AK,336,999,86395,335664,172506.27455675695,163157.72544324305,Yes
FF100127,2024-05-07,Indonesia,Weapons,Dragon Skin,186,49,64816,9114,5836.9130413488,3277.0869586512,No
FF100128,2024-05-08,Indonesia,Weapons,500 Diamonds,55,99,24138,5445,2818.4848578736196,2626.5151421263804,No
FF100129,2024-05-09,India,Elite Pass,500 Diamonds,388,199,120728,77212,48275.32784646521,28936.67215353479,No
FF100130,2024-05-10,Indonesia,Weapons,1000 Diamonds,376,499,111176,187624,82112.87228519315,105511.12771480685,Yes
FF100131,2024-05-11,Indonesia,Skins,500 Diamonds,254,499,95945,126746,80082.10590706104,46663.894092938965,Yes
FF100132,2024-05-12,India,Elite Pass,Elite Pass S1,24,299,24017,7176,3380.470061859033,3795.529938140967,No
FF100133,2024-05-13,Indonesia,Skins,Shadow Bundle,162,499,30451,80838,48762.93175018701,32075.06824981299,Yes
FF100134,2024-05-14,Vietnam,Characters,500 Diamonds,158,49,82956,7742,4410.884239273698,3331.115760726302,No
FF100135,2024-05-15,Brazil,Elite Pass,Elite Pass S2,82,499,113863,40918,27772.823061660343,13145.176938339657,No
FF100136,2024-05-16,Philippines,Characters,M1014 Evo,403,299,30278,120497,62200.16043454143,58296.83956545857,Yes
FF100137,2024-05-17,Brazil,Elite Pass,Elite Pass S2,159,999,110480,158841,66689.3234278954,92151.6765721046,Yes
FF100138,2024-05-18,India,Diamonds,500 Diamonds,188,199,63764,37412,15179.793507633043,22232.206492366957,No
FF100139,2024-05-19,Thailand,Weapons,1000 Diamonds,60,199,143030,11940,7737.807365404402,4202.192634595598,No
FF100140,2024-05-20,Philippines,Diamonds,M1014 Evo,403,499,21134,201097,112095.6287580403,89001.3712419597,Yes
FF100141,2024-05-21,India,Characters,Golden AK,305,99,82943,30195,19100.548243546888,11094.451756453112,No
FF100142,2024-05-22,Thailand,Weapons,Elite Pass S2,319,199,115667,63481,29856.87145429929,33624.12854570071,No
FF100143,2024-05-23,Brazil,Elite Pass,1000 Diamonds,366,999,74318,365634,184105.90506209573,181528.09493790427,Yes
FF100144,2024-05-24,India,Weapons,Shadow Bundle,211,499,123423,105289,43066.48198037727,62222.51801962273,No
FF100145,2024-05-25,Philippines,Skins,Shadow Bundle,406,299,123998,121394,83573.41977480492,37820.58022519508,No
FF100146,2024-05-26,Philippines,Weapons,Elite Pass S2,152,999,80128,151848,91163.52176901152,60684.478230988476,Yes
FF100147,2024-05-27,Mexico,Skins,500 Diamonds,109,499,108056,54391,36983.787378494926,17407.212621505074,No
FF100148,2024-05-28,Vietnam,Weapons,1000 Diamonds,76,999,41869,75924,36416.86477129346,39507.13522870654,Yes
FF100149,2024-05-29,Indonesia,Skins,Shadow Bundle,30,199,122468,5970,3483.1313277051586,2486.8686722948414,No
FF100150,2024-05-30,Thailand,Characters,Golden AK,314,299,137034,93886,56664.89440693678,37221.10559306322,No
FF100151,2024-05-31,Mexico,Diamonds,Dragon Skin,486,499,25039,242514,120108.67440248064,122405.32559751936,Yes
FF100152,2024-06-01,Indonesia,Elite Pass,500 Diamonds,117,49,41281,5733,3751.8630733033824,1981.1369266966176,No
FF100153,2024-06-02,Indonesia,Weapons,1000 Diamonds,415,299,132935,124085,84892.55903719316,39192.44096280684,No
FF100154,2024-06-03,India,Diamonds,Golden AK,356,49,30442,17444,11608.22380192673,5835.77619807327,No
FF100155,2024-06-04,Indonesia,Elite Pass,1000 Diamonds,192,999,93788,191808,119250.88755629375,72557.11244370625,Yes
FF100156,2024-06-05,Vietnam,Elite Pass,M1014 Evo,19,99,139729,1881,908.9733187687916,972.0266812312084,No
FF100157,2024-06-06,Philippines,Skins,Golden AK,432,299,47586,129168,62579.93427801007,66588.06572198993,Yes
FF100158,2024-06-07,Mexico,Characters,500 Diamonds,173,999,73053,172827,119079.2022305182,53747.7977694818,Yes
FF100159,2024-06-08,Indonesia,Characters,M1014 Evo,228,49,70489,11172,4503.269516578065,6668.730483421935,No
FF100160,2024-06-09,India,Diamonds,500 Diamonds,350,199,103104,69650,42821.86419089461,26828.13580910539,No
FF100161,2024-06-10,Vietnam,Characters,Shadow Bundle,183,199,106346,36417,22282.609950532496,14134.390049467504,No
FF100162,2024-06-11,Brazil,Weapons,Dragon Skin,113,99,87087,11187,6564.608368381614,4622.391631618386,No
FF100163,2024-06-12,Philippines,Characters,500 Diamonds,183,299,32625,54717,38139.535719400505,16577.464280599495,Yes
FF100164,2024-06-13,Philippines,Diamonds,500 Diamonds,481,299,54397,143819,70983.85657163097,72835.14342836903,Yes
FF100165,2024-06-14,Mexico,Characters,Shadow Bundle,146,299,78671,43654,21913.939522609136,21740.060477390864,No
FF100166,2024-06-15,Philippines,Weapons,Elite Pass S1,319,999,136214,318681,135019.34636112337,183661.65363887663,Yes
FF100167,2024-06-16,Indonesia,Skins,Shadow Bundle,116,99,111785,11484,6119.128140020483,5364.871859979517,No
FF100168,2024-06-17,India,Diamonds,M1014 Evo,113,299,86897,33787,16160.813966769043,17626.18603323096,No
FF100169,2024-06-18,Philippines,Skins,Shadow Bundle,251,999,46149,250749,126130.76165530263,124618.23834469737,Yes
FF100170,2024-06-19,Philippines,Skins,Shadow Bundle,476,199,80030,94724,61605.79347805222,33118.20652194778,Yes
FF100171,2024-06-20,Brazil,Skins,Dragon Skin,251,49,89906,12299,8371.2572095624,3927.7427904376,No
FF100172,2024-06-21,Brazil,Elite Pass,Shadow Bundle,303,999,25283,302697,137945.0531090261,164751.9468909739,Yes
FF100173,2024-06-22,Thailand,Elite Pass,1000 Diamonds,459,199,27610,91341,46744.001495107535,44596.998504892465,Yes
FF100174,2024-06-23,Vietnam,Skins,500 Diamonds,313,199,63326,62287,42267.28354674446,20019.71645325554,No
FF100175,2024-06-24,Indonesia,Diamonds,1000 Diamonds,118,49,34924,5782,2420.0129559115258,3361.9870440884742,No
FF100176,2024-06-25,Philippines,Weapons,Dragon Skin,301,199,133143,59899,25619.29098200304,34279.70901799696,No
FF100177,2024-06-26,Philippines,Weapons,Elite Pass S2,161,99,130253,15939,7154.017673087427,8784.982326912574,No
FF100178,2024-06-27,India,Characters,Elite Pass S1,401,49,96162,19649,11368.201093327689,8280.798906672311,No
FF100179,2024-06-28,Thailand,Diamonds,1000 Diamonds,198,199,120297,39402,17539.472526653495,21862.527473346505,No
FF100180,2024-06-29,Vietnam,Elite Pass,Dragon Skin,260,499,20869,129740,89575.46891882546,40164.531081174544,Yes
FF100181,2024-06-30,Thailand,Skins,M1014 Evo,148,999,117088,147852,78955.09088526801,68896.90911473199,Yes
FF100182,2024-07-01,Mexico,Characters,Elite Pass S2,240,199,21014,47760,26289.749335897184,21470.250664102816,Yes
FF100183,2024-07-02,Vietnam,Weapons,Dragon Skin,47,99,30103,4653,2205.510761802767,2447.489238197233,No
FF100184,2024-07-03,Philippines,Elite Pass,Dragon Skin,475,299,102522,142025,76876.4389556129,65148.5610443871,Yes
FF100185,2024-07-04,Philippines,Elite Pass,Elite Pass S1,399,199,130317,79401,47527.381303503396,31873.618696496604,No
FF100186,2024-07-05,Vietnam,Skins,500 Diamonds,198,299,116007,59202,37022.15665858597,22179.84334141403,No
FF100187,2024-07-06,Philippines,Weapons,1000 Diamonds,47,499,53458,23453,14685.340443138675,8767.659556861325,No
FF100188,2024-07-07,Indonesia,Diamonds,M1014 Evo,78,199,110605,15522,8899.807755371292,6622.192244628708,No
FF100189,2024-07-08,Vietnam,Elite Pass,Golden AK,124,49,102409,6076,4078.8669978588027,1997.1330021411973,No
FF100190,2024-07-09,Thailand,Skins,1000 Diamonds,75,299,43248,22425,14469.111292751848,7955.888707248152,No
FF100191,2024-07-10,Vietnam,Diamonds,Golden AK,359,499,109160,179141,112341.90689456793,66799.09310543207,Yes
FF100192,2024-07-11,Philippines,Weapons,Dragon Skin,137,49,63516,6713,2797.1839601122797,3915.8160398877203,No
FF100193,2024-07-12,Indonesia,Elite Pass,Shadow Bundle,90,49,49061,4410,1773.0995440165962,2636.900455983404,No
FF100194,2024-07-13,Indonesia,Diamonds,M1014 Evo,400,49,44170,19600,9089.18998990938,10510.81001009062,No
FF100195,2024-07-14,Mexico,Diamonds,Elite Pass S2,325,49,28024,15925,9539.983969921517,6385.016030078483,No
FF100196,2024-07-15,Thailand,Diamonds,Shadow Bundle,61,199,102214,12139,6353.057895263567,5785.942104736433,No
FF100197,2024-07-16,Brazil,Elite Pass,Shadow Bundle,138,999,123792,137862,71787.75951585651,66074.24048414349,Yes
FF100198,2024-07-17,Brazil,Elite Pass,1000 Diamonds,50,199,105947,9950,6620.491861365397,3329.508138634603,No
FF100199,2024-07-18,Vietnam,Characters,M1014 Evo,259,199,63803,51541,34463.861426668926,17077.138573331074,No
FF100200,2024-07-19,Mexico,Weapons,500 Diamonds,461,499,39296,230039,154759.33057028684,75279.66942971316,Yes
FF100201,2024-07-20,India,Skins,Dragon Skin,107,499,111829,53393,26384.86764181006,27008.13235818994,No
FF100202,2024-07-21,Vietnam,Diamonds,Dragon Skin,113,999,112708,112887,68558.1652598091,44328.8347401909,Yes
FF100203,2024-07-22,Mexico,Characters,Dragon Skin,350,499,106664,174650,84092.2205328706,90557.7794671294,Yes
FF100204,2024-07-23,Thailand,Skins,Dragon Skin,254,99,38257,25146,11496.322458747034,13649.677541252966,No
FF100205,2024-07-24,Thailand,Characters,1000 Diamonds,118,999,32855,117882,53682.25300110677,64199.74699889323,Yes
FF100206,2024-07-25,Thailand,Elite Pass,Golden AK,493,499,105178,246007,123651.06084573705,122355.93915426295,Yes
FF100207,2024-07-26,Thailand,Diamonds,Dragon Skin,198,999,149876,197802,104634.74313230648,93167.25686769352,Yes
FF100208,2024-07-27,Thailand,Skins,Golden AK,337,199,121121,67063,43542.98327753982,23520.016722460183,No
FF100209,2024-07-28,Mexico,Skins,Golden AK,365,199,143324,72635,31666.486872317135,40968.51312768286,No
FF100210,2024-07-29,Mexico,Skins,500 Diamonds,51,999,40025,50949,31612.721099676743,19336.278900323257,Yes
FF100211,2024-07-30,Indonesia,Skins,Dragon Skin,245,99,24458,24255,13569.131683098482,10685.868316901518,No
FF100212,2024-07-31,Brazil,Skins,Elite Pass S1,403,99,83610,39897,19405.24660102322,20491.75339897678,No
FF100213,2024-08-01,Philippines,Characters,Elite Pass S2,426,999,90843,425574,233148.96056039172,192425.03943960828,Yes
FF100214,2024-08-02,Thailand,Diamonds,Shadow Bundle,35,499,127237,17465,8557.546474596711,8907.453525403289,No
FF100215,2024-08-03,India,Elite Pass,Golden AK,302,299,103961,90298,52266.70251823257,38031.29748176743,No
FF100216,2024-08-04,Philippines,Elite Pass,M1014 Evo,410,99,69831,40590,21518.91744860831,19071.08255139169,No
FF100217,2024-08-05,Mexico,Elite Pass,M1014 Evo,499,49,63427,24451,10986.3638774523,13464.6361225477,No
FF100218,2024-08-06,India,Elite Pass,Elite Pass S2,69,199,113809,13731,5972.640659017282,7758.359340982718,No
FF100219,2024-08-07,India,Characters,M1014 Evo,349,999,58506,348651,196642.19887503906,152008.80112496094,Yes
FF100220,2024-08-08,India,Weapons,Elite Pass S1,320,49,25668,15680,10516.95090857783,5163.04909142217,No
FF100221,2024-08-09,Indonesia,Diamonds,M1014 Evo,421,999,111470,420579,211630.01395642344,208948.98604357656,Yes
FF100222,2024-08-10,Mexico,Skins,Shadow Bundle,468,199,67195,93132,57732.5297957572,35399.4702042428,Yes
FF100223,2024-08-11,India,Weapons,Shadow Bundle,49,199,93233,9751,5827.1820616053,3923.8179383947,No
FF100224,2024-08-12,Thailand,Elite Pass,Golden AK,405,99,44417,40095,27243.20828677159,12851.79171322841,No
FF100225,2024-08-13,Vietnam,Weapons,Dragon Skin,74,99,101982,7326,4734.752079820052,2591.247920179948,No
FF100226,2024-08-14,India,Diamonds,500 Diamonds,192,49,126133,9408,5362.386682734778,4045.6133172652217,No
FF100227,2024-08-15,Indonesia,Skins,Elite Pass S1,261,999,30751,260739,155689.64252371888,105049.35747628112,Yes
FF100228,2024-08-16,Philippines,Skins,Golden AK,356,199,66218,70844,47431.187251603806,23412.812748396194,Yes
FF100229,2024-08-17,Mexico,Diamonds,Elite Pass S1,70,49,146649,3430,1783.1048293399556,1646.8951706600444,No
FF100230,2024-08-18,Indonesia,Diamonds,Dragon Skin,90,299,27352,26910,13402.213660389836,13507.786339610164,No
FF100231,2024-08-19,India,Elite Pass,1000 Diamonds,260,49,99052,12740,5137.31996165372,7602.68003834628,No
FF100232,2024-08-20,Mexico,Skins,M1014 Evo,126,499,108835,62874,40740.17167161424,22133.82832838576,No
FF100233,2024-08-21,Vietnam,Weapons,M1014 Evo,231,49,117493,11319,7247.490164359705,4071.509835640295,No
